,activity_id,zone_type,zone_index,time
330,2498913766,heartrate,1,45
331,2498913766,heartrate,2,354
332,2498913766,heartrate,3,1813
333,2498913766,heartrate,4,47
334,2498913766,heartrate,5,0
793,2498913766,pace,1,72
794,2498913766,pace,2,1869
795,2498913766,pace,3,218
796,2498913766,pace,4,56
797,2498913766,pace,5,47
798,2498913766,pace,6,0
335,2504627191,heartrate,1,27
336,2504627191,heartrate,2,10
337,2504627191,heartrate,3,162
338,2504627191,heartrate,4,621
339,2504627191,heartrate,5,1607
804,2504627191,pace,1,0
805,2504627191,pace,2,178
806,2504627191,pace,3,1204
807,2504627191,pace,4,594
808,2504627191,pace,5,358
809,2504627191,pace,6,97
340,2515520825,heartrate,1,98
341,2515520825,heartrate,2,1052
342,2515520825,heartrate,3,1111
343,2515520825,heartrate,4,52
344,2515520825,heartrate,5,0
815,2515520825,pace,1,371
816,2515520825,pace,2,1667
817,2515520825,pace,3,186
818,2515520825,pace,4,62
819,2515520825,pace,5,27
820,2515520825,pace,6,0
345,2524106340,heartrate,1,12
346,2524106340,heartrate,2,9
347,2524106340,heartrate,3,141
348,2524106340,heartrate,4,632
349,2524106340,heartrate,5,1628
826,2524106340,pace,1,0
827,2524106340,pace,2,211
828,2524106340,pace,3,1216
829,2524106340,pace,4,640
830,2524106340,pace,5,264
831,2524106340,pace,6,95
350,2534975295,heartrate,1,91
351,2534975295,heartrate,2,1745
352,2534975295,heartrate,3,1005
353,2534975295,heartrate,4,28
354,2534975295,heartrate,5,0
837,2534975295,pace,1,309
838,2534975295,pace,2,2136
839,2534975295,pace,3,332
840,2534975295,pace,4,58
841,2534975295,pace,5,29
842,2534975295,pace,6,5
355,2537990071,heartrate,1,51
356,2537990071,heartrate,2,211
357,2537990071,heartrate,3,1513
358,2537990071,heartrate,4,87
359,2537990071,heartrate,5,0
848,2537990071,pace,1,90
849,2537990071,pace,2,763
850,2537990071,pace,3,935
851,2537990071,pace,4,39
852,2537990071,pace,5,38
853,2537990071,pace,6,0
360,2543755287,heartrate,1,192
361,2543755287,heartrate,2,950
362,2543755287,heartrate,3,1676
363,2543755287,heartrate,4,45
364,2543755287,heartrate,5,0
859,2543755287,pace,1,402
860,2543755287,pace,2,2003
861,2543755287,pace,3,399
862,2543755287,pace,4,34
863,2543755287,pace,5,19
864,2543755287,pace,6,9
365,2547056909,heartrate,1,25
366,2547056909,heartrate,2,9
367,2547056909,heartrate,3,175
368,2547056909,heartrate,4,311
369,2547056909,heartrate,5,583
870,2547056909,pace,1,0
871,2547056909,pace,2,0
872,2547056909,pace,3,60
873,2547056909,pace,4,620
874,2547056909,pace,5,395
875,2547056909,pace,6,32
370,2550046544,heartrate,1,237
371,2550046544,heartrate,2,213
372,2550046544,heartrate,3,2206
373,2550046544,heartrate,4,1309
374,2550046544,heartrate,5,0
881,2550046544,pace,1,267
882,2550046544,pace,2,2892
883,2550046544,pace,3,664
884,2550046544,pace,4,128
885,2550046544,pace,5,17
886,2550046544,pace,6,0
375,2557201561,heartrate,1,39
376,2557201561,heartrate,2,120
377,2557201561,heartrate,3,915
378,2557201561,heartrate,4,271
379,2557201561,heartrate,5,0
892,2557201561,pace,1,92
893,2557201561,pace,2,801
894,2557201561,pace,3,455
895,2557201561,pace,4,0
896,2557201561,pace,5,0
897,2557201561,pace,6,0
380,2562951585,heartrate,1,496
381,2562951585,heartrate,2,107
382,2562951585,heartrate,3,1120
383,2562951585,heartrate,4,1188
384,2562951585,heartrate,5,0
903,2562951585,pace,1,489
904,2562951585,pace,2,2138
905,2562951585,pace,3,237
906,2562951585,pace,4,47
907,2562951585,pace,5,0
908,2562951585,pace,6,0
385,2566399890,heartrate,1,30
386,2566399890,heartrate,2,54
387,2566399890,heartrate,3,475
388,2566399890,heartrate,4,61
389,2566399890,heartrate,5,461
914,2566399890,pace,1,0
915,2566399890,pace,2,0
916,2566399890,pace,3,10
917,2566399890,pace,4,399
918,2566399890,pace,5,556
919,2566399890,pace,6,117
390,2569700805,heartrate,1,256
391,2569700805,heartrate,2,1373
392,2569700805,heartrate,3,2959
393,2569700805,heartrate,4,18
394,2569700805,heartrate,5,0
925,2569700805,pace,1,778
926,2569700805,pace,2,3023
927,2569700805,pace,3,608
928,2569700805,pace,4,171
929,2569700805,pace,5,26
930,2569700805,pace,6,0
