activity_id,split_index,distance,time,elevation_gain,average_speed,max_speed,average_hr,max_hr,average_cadence
2085495854,11,0.8,179,22.0,16.092,17.64,161.4,168.0,92.5
2085495854,12,0.21612,90,11.0,8.64,15.120000000000001,157.8,166.0,81.5
2085495854,13,0.8,182,13.0,15.840000000000002,18.0,163.9,171.0,92.8
2085495854,14,0.21547999999999998,90,14.0,8.604000000000001,15.120000000000001,159.9,171.0,81.5
2085495854,15,0.8,182,16.0,15.840000000000002,18.720000000000002,163.5,172.0,92.8
2085495854,16,0.2228,90,8.0,8.928,11.16,154.7,167.0,82.7
2085495854,17,0.8,173,21.0,16.632,20.52,165.6,172.0,93.7
2091075105,1,1.0,230,9.0,15.659999999999998,20.88,157.2,167.0,92.7
2091075105,2,1.0,222,29.0,16.2,18.0,174.8,183.0,91.5
2091075105,3,1.0,229,27.0,15.732000000000001,16.92,179.1,181.0,89.3
2091075105,4,1.0,217,17.0,16.596,18.720000000000002,179.1,183.0,90.0
2091075105,5,1.0,232,14.0,15.515999999999998,16.92,178.3,182.0,88.6
2091075105,6,1.0,239,22.0,15.048,16.2,177.6,180.0,88.2
2091075105,7,1.0,237,26.0,15.192,17.64,177.7,180.0,88.2
2091075105,8,1.0,234,33.0,15.371999999999998,18.36,176.3,179.0,87.5
2091075105,9,1.0,226,19.0,15.912,17.64,177.3,180.0,88.1
2091075105,10,1.0,260,51.0,13.860000000000001,17.28,177.6,182.0,86.6
2091075105,11,1.0,229,6.0,15.732000000000001,18.36,175.9,180.0,86.8
2091075105,12,1.0,224,19.0,16.056,17.64,176.9,179.0,87.6
2091075105,13,1.0,247,25.0,14.58,16.92,178.7,183.0,86.6
2091075105,14,1.0,234,37.0,15.371999999999998,16.56,176.6,181.0,86.7
2091075105,15,1.0,243,27.0,14.832,18.0,175.9,178.0,86.7
2091075105,16,1.0,226,43.0,15.912,19.8,177.7,181.0,86.9
2091075105,17,0.12406,25,0.0,17.856,19.08,179.7,181.0,93.1
2096712118,1,0.8,188,20.0,15.336,18.0,146.9,161.0,92.5
2096712118,2,0.20994,90,11.0,8.388,11.879999999999999,154.7,160.0,81.0
2096712118,3,0.8,181,13.0,15.912,18.720000000000002,160.6,177.0,92.7
2096712118,4,0.21741,90,2.0,8.712,15.840000000000002,161.2,165.0,81.4
2096712118,5,0.8,182,17.0,15.840000000000002,18.720000000000002,161.3,167.0,91.9
2096712118,6,0.21537,90,5.0,8.604000000000001,15.840000000000002,161.4,165.0,82.0
2096712118,7,0.8,177,20.0,16.272,20.52,174.5,190.0,92.9
2096712118,8,0.23263999999999999,90,9.0,9.288,16.92,171.8,176.0,81.6
2096712118,9,0.8,183,17.0,15.732000000000001,18.720000000000002,176.9,188.0,92.0
2096712118,10,0.22469,90,8.0,9.0,12.96,173.6,180.0,80.3
2096712118,11,0.8,184,17.0,15.659999999999998,19.44,173.0,181.0,91.4
2096712118,12,0.21044,90,2.0,8.424,15.120000000000001,167.8,171.0,81.0
2096712118,13,0.8,185,15.0,15.552000000000001,18.720000000000002,169.5,186.0,91.2
