activity_id,split_average_cadence,split_average_hr,split_average_speed,split_distance,split_elevation_gain,split_index,split_max_hr,split_max_speed,split_time
3017615097,81,165,3.2,239.65,5,12,170,4.9,75
3017615097,84.9,164.7,4.29,600,20,13,175,4.9,140
3017615097,81.4,168.3,3.41,256.02,0,14,171,5.9,75
3017615097,85.9,171.2,4.51,600,13,15,180,5.7,133
3017615097,87,176,10.97,10.97,0,16,176,5.1,1
3015296035,80.3,139.8,3.55,1000,22,1,157,4.8,282
3015296035,81.2,155.1,3.57,1000,54,2,163,5.1,280
3015296035,81.4,160.5,3.51,1000,37,3,168,4.8,285
3015296035,80.8,154.1,3.51,1000,25,4,167,4.9,285
3015296035,81.2,145.4,3.69,1000,35,5,156,5,271
3015296035,82.5,160.4,3.64,1000,36,6,170,4.9,275
3015296035,82.1,156.3,3.61,1000,38,7,170,5,277
3015296035,81.5,139.5,3.64,1000,13,8,158,5.2,275
3015296035,83.5,145.6,3.67,318.91,16,9,149,5.2,87
3011745332,79.6,143.3,3.47,1000,37,1,165,4.5,288
3011745332,80.3,151.9,3.47,1000,46,2,163,5.1,288
3011745332,81,147.8,3.55,1000,46,3,163,4.8,282
3011745332,79.7,143.4,3.56,1000,17,4,159,5.4,294
3011745332,81.4,150.6,3.82,1000,30,5,157,5.7,262
3011745332,82,155,4.58,132.75,10,6,156,5.8,29
3004106991,86.3,157.1,4.46,1000,16,1,167,5.3,224
3004106991,83,178,4.08,1000,41,2,185,5.6,245
3004106991,83.2,184.1,4.02,1000,62,3,189,6,249
3004106991,82.5,185.9,3.94,1000,60,4,190,5.8,254
3004106991,83.3,183.4,4.03,1000,33,5,188,5.7,248
3004106991,82.6,184.3,3.97,1000,46,6,188,6.3,252
3004106991,82.9,184.6,3.92,1000,27,7,190,5.6,255
3004106991,83,182.8,3.86,1000,58,8,189,5.9,259
3004106991,84.5,184.6,4.33,1000,26,9,190,6.4,231
3004106991,84.2,189.5,4.26,528.57,16,10,191,6.1,124
2996991528,83.5,145.9,4.26,800,16,1,170,5,188
